,RA,DEC,Z,flag,fuv_mag,nuv_mag,Type,x_mm,y_mm,slit_width,delta_y_mask,length_right_mask,length_left_mask,slit_length,yline_mm
24578,31.9741113,-5.877338,0.9886,OVI,-99.0,22.732,OVI,-10.315675874887198,-5.372622856759849,0.07604999999999999,0.0,204.75,204.75,0.4095,-5.72
24762,31.9538443,-5.798012,0.6554,Lya,-99.0,22.941,Lya,-11.168601467757734,-2.0276771199112784,0.07604999999999999,0.0,204.75,204.75,0.4095,-4.91
25285,31.9890415,-5.6858169,0.6448,Lya,-99.0,23.027,Lya,-9.69761634952174,2.7063293101006436,0.07604999999999999,0.0,204.75,204.75,0.4095,-0.96
25600,31.9309548,-5.626884,0.656,Lya,-99.0,23.318,Lya,-12.124363143092436,5.186213354112832,0.07604999999999999,0.0,204.75,204.75,0.4095,2.35
25633,32.1065928,-5.6187636,0.6963,Lya,-99.0,23.088,Lya,-4.765844298992474,5.541253833371377,0.07604999999999999,0.0,204.75,204.75,0.4095,5.67
26474,32.2586059,-5.7849853,0.6442,Lya,-99.0,-99.0,Lya,1.623110039325331,-1.4784731061587664,0.07604999999999999,0.0,204.75,204.75,0.4095,-5.18
26558,32.1502586,-5.7586235,0.9099,OVI,-99.0,-99.0,OVI,-2.9321031108200555,-0.36457134342155073,0.07604999999999999,0.0,204.75,204.75,0.4095,-5.64
26647,32.469175,-5.7396005,0.6497,Lya,-99.0,22.888,Lya,10.460199758701778,0.43648627971980924,0.07604999999999999,0.0,204.75,204.75,0.4095,-2.86
26692,32.4359121,-5.7282388,0.6668,Lya,-99.0,23.495,Lya,9.06770039601797,0.9167860615867152,0.07604999999999999,0.0,204.75,204.75,0.4095,-1.13
26788,32.1746643,-5.7065021,0.6446,Lya,-99.0,24.261,Lya,-1.9062504977524444,1.8380091643824448,0.07604999999999999,0.0,204.75,204.75,0.4095,-1.84
26815,32.2166499,-5.6978863,0.6379,Lya,-99.0,24.073,Lya,-0.14086987813327456,2.202232672914516,0.07604999999999999,0.0,204.75,204.75,0.4095,-1.97
26847,32.162534,-5.6914294,0.643,Lya,-99.0,23.138,Lya,-2.4161801612117317,2.474701933436038,0.07604999999999999,0.0,204.75,204.75,0.4095,-1.32
26852,32.2284759,-5.6895905,0.6363,Lya,-99.0,24.466,Lya,0.3564024966108478,2.552727300401704,0.07604999999999999,0.0,204.75,204.75,0.4095,-1.73
26917,32.1240501,-5.6766783,0.6432,Lya,-99.0,24.181,Lya,-4.0335013796432975,3.0971190895266543,0.07604999999999999,0.0,204.75,204.75,0.4095,-0.68
26954,32.1957408,-5.6692887,0.642,Lya,-99.0,23.355,Lya,-1.020015801453887,3.4102904904238884,0.07604999999999999,0.0,204.75,204.75,0.4095,-0.46
27002,32.1391437,-5.6582513,1.394,LyC,-99.0,23.842,LyC,-3.399075153997561,3.875618770406978,0.07604999999999999,0.0,204.75,204.75,0.4095,-1.99
27117,32.3368831,-5.6281332,0.6629,Lya,-99.0,23.336,Lya,4.912046724380449,5.145794321566988,0.07604999999999999,0.0,204.75,204.75,0.4095,2.82
27130,32.5057281,-5.6252093,0.6431,Lya,-99.0,22.348,Lya,11.985736813186227,5.257080537038755,0.07604999999999999,0.0,204.75,204.75,0.4095,1.47
27140,32.3099606,-5.6220169,0.9368,OVI,-99.0,23.83,OVI,3.7810693318928323,5.404865811694566,0.07604999999999999,0.0,702.0,204.75,0.90675,1.81
27146,32.3207838,-5.6215058,0.6563,Lya,-99.0,23.383,Lya,4.235725408200157,5.42605599856655,0.0,0.0,0.0,0.0,0.0,2.61
27167,32.420143,-5.6153753,0.6644,Lya,-99.0,22.696,Lya,8.404550874295758,5.679054062123038,0.07604999999999999,0.0,204.75,204.75,0.4095,3.46
27196,32.3881211,-5.6096516,0.6432,Lya,-99.0,23.363,Lya,7.061867723612497,5.922618464944924,0.07604999999999999,0.0,204.75,204.75,0.4095,2.14
59453,32.3688997,-5.7281033,0.629,Lya,-99.0,23.027,Lya,6.2574730374959655,0.9240076719610313,0.07604999999999999,0.0,204.75,117.0,0.32175,-3.9
59457,32.3528866,-5.7204662,0.6592,Lya,-99.0,-99.0,Lya,5.585218195742949,1.2468691195491275,0.117,126.36,468.0,204.75,0.67275,-1.35
59570,32.4020622,-5.7781286,0.6566,Lya,-99.0,24.639,Lya,7.648128638095077,-1.1888891225757068,0.09359999999999999,-42.12,204.75,204.75,0.4095,-3.98
59619,32.4832373,-5.8575442,0.7647,Lya,-99.0,-99.0,Lya,11.042658030348617,-4.5376530687569,0.07604999999999999,0.0,643.5,204.75,0.84825,0.63
59971,32.000532,-5.6935508,0.6414,Lya,-99.0,23.635,Lya,-9.216535929481207,2.380567907722151,0.07604999999999999,0.0,204.75,204.75,0.4095,-1.53
59975,32.0228903,-5.6830786,0.6425,Lya,-99.0,24.849,Lya,-8.279532138919846,2.8234756131008654,0.07604999999999999,0.0,204.75,204.75,0.4095,-1.01
60370,32.040139,-5.644209,0.6421,Lya,,-1.0,Lya,-7.555459851545311,4.464452298570341,0.07604999999999999,0.0,204.75,351.0,0.55575,0.6
60378,32.454515,-5.806811,0.738,Lya,,-1.0,Lya,9.844659623115907,-2.3991833288308584,0.07604999999999999,0.0,204.75,351.0,0.55575,0.8
60583,32.28752152,-5.695231017,-99.0,Bright Star,,-1.0,Bright Star,2.8388868222131523,2.3139724546270233,0.234,0.0,234.0,234.0,0.468,-7336.78
60773,32.06502777,-5.603094653,-99.0,Bright Star,,-1.0,Bright Star,-6.510037761998716,6.199911292753407,0.046799999999999994,0.0,234.0,234.0,0.468,-7332.9
60774,32.08343397,-5.69184427,-99.0,Bright Star,,-1.0,Bright Star,-5.739608179302061,2.455600549479822,0.046799999999999994,0.0,234.0,234.0,0.468,-7336.64
