# count	main_id	obj	ra	dec	z	xmask	ymask
1	102173356	0	31.891568	-5.706738	0.6412	-12.51997517	-0.79326406
2	102177432	0	31.898248	-5.68743	0.6443	-12.2415289	0.020946023
3	102166895	0	31.911268	-5.736654	0.6604	-11.69578144	-2.054673351
4	102189833	0	31.930955	-5.626884	0.656	-10.87441134	2.575589801
5	102164719	0	31.942081	-5.747289	0.6556	-10.40678892	-2.503575717
6	102167331	0	31.947899	-5.735505	0.6562	-10.16388178	-2.006534116
7	102175258	0	31.969016	-5.698274	0.6418	-9.280872819	-0.435406664
8	102173787	0	31.97817	-5.704451	0.6423	-8.89721909	-0.696043491
9	102175840	0	31.984216	-5.694945	0.6418	-8.64404662	-0.294715158
10	102161718	0	31.993805	-5.761194	0.6556	-8.239980602	-3.091089791
11	102176019	0	32.000532	-5.693551	0.6414	-7.96006369	-0.235674456
12	102162797	0	32.007183	-5.755669	0.6544	-7.679379267	-2.858121775
13	102178144	0	32.02289	-5.683079	0.6425	-7.022350901	0.206799196
14	111007086	0	32.06701	-5.594838	0.6374	-5.16967284	3.934102036
15	102195156	0	32.08196	-5.599334	0.6408	-4.541753926	3.744763132
16	102170695	0	32.090328	-5.718481	0.6419	-4.190085005	-1.288154432
17	102170154	0	32.096311	-5.721319	0.6466	-3.938649664	-1.40805133
18	102172603	0	32.103019	-5.709161	0.6434	-3.656907987	-0.894374696
19	102177777	0	32.108736	-5.68571	0.6762	-3.416817793	0.096521081
20	112012519	0	32.126712	-5.569555	0.6566	-2.660721504	5.003070052
21	112008909	0	32.132661	-5.586842	0.6596	-2.410834905	4.273393523
22	103192995	0	32.146149	-5.730355	0.6468	-1.84375308	-1.789866382
23	103193101	0	32.154077	-5.72991	0.6468	-1.510441809	-1.771070672
24	103202362	0	32.162534	-5.691429	0.643	-1.155002408	-0.144938384
25	103185145	0	32.168473	-5.763935	0.6465	-0.905006727	-3.208584882
26	103198924	0	32.174664	-5.706502	0.6446	-0.644897089	-0.781914604
27	103196028	0	32.183064	-5.718329	0.6419	-0.291657895	-1.281710179
28	103196115	0	32.185309	-5.717904	0.6421	-0.197256364	-1.263750454
29	103199250	0	32.192689	-5.704582	0.6564	0.113076971	-0.700771698
30	103176445	0	32.202194	-5.800675	0.7377	0.512518589	-4.760144875
31	103199261	0	32.206743	-5.705095	0.7352	0.704064946	-0.722455663
32	103200737	0	32.21665	-5.697886	0.6379	1.120674017	-0.417811753
33	103206793	0	32.224164	-5.673316	0.6455	1.436688183	0.620498959
34	103202729	0	32.228476	-5.689591	0.6363	1.61796931	-0.067288848
35	112014514	0	32.2375	-5.55779	0.6505	1.996947694	5.499920239
36	103195071	0	32.264181	-5.72286	0.734	3.118795258	-1.473163111
37	103196599	0	32.274064	-5.716005	0.7188	3.534242618	-1.183535781
38	103190970	0	32.279995	-5.738793	0.7115	3.783159463	-2.146259338
39	103218476	0	32.294122	-5.6254	0.7198	4.377409735	2.644121068
40	103205995	0	32.307455	-5.675126	0.6684	4.937627213	0.543368362
41	112013659	0	32.310532	-5.562604	0.6783	5.065766472	5.294598844
42	103219293	0	32.320784	-5.621506	0.6563	5.497362976	2.807893355
43	103209000	0	32.327271	-5.663197	0.7205	5.769940296	1.046980937
44	103217836	0	32.336883	-5.628133	0.6629	6.173404139	2.527584911
45	112012466	0	32.340871	-5.569115	0.655	6.339684316	5.018485666
46	103181554	0	32.350896	-5.779373	0.7378	6.758956078	-3.858978987
47	112013899	0	32.36018	-5.562246	0.6412	7.149654319	5.307167502
48	112007353	0	32.37106	-5.59419	0.6835	7.606980809	3.958979139
49	112007404	0	32.38187	-5.595051	0.6415	8.060312591	3.922087597
50	103221874	0	32.388121	-5.609652	0.6432	8.322720592	3.30569227
51	103208984	0	32.395107	-5.663555	0.6639	8.616015666	1.030386565
52	103181519	0	32.402062	-5.778129	0.6566	8.903937861	-3.805264482
53	103193376	0	32.41377	-5.729145	0.6617	9.396670847	-1.738288189
54	103220895	0	32.418352	-5.614853	0.6651	9.589524997	3.084707769
55	103220463	0	32.420143	-5.615375	0.6644	9.664538616	3.062591238
56	103220057	0	32.422267	-5.618051	0.6663	9.753534207	2.949591973
57	103220162	0	32.425696	-5.61832	0.6642	9.89711379	2.938062334
58	103177700	0	32.43455	-5.795051	0.7404	10.26279627	-4.51778796
59	103190971	0	32.469175	-5.7396	0.6497	11.71414169	-2.178890833
60	103191680	0	32.482446	-5.736154	0.661	12.26872265	-2.033456515
OVI1	102156098	0	31.904748	-5.787182	0.9724	-11.96477555	-4.184456229
OVI2	103175557	0	32.488523	-5.804923	0.9832	12.51720191	-4.931191551
QSO1	2.67E+18	1	32.040139	-5.644209	0.6421	-6.29852483	1.848652769
QSO2	2.09E+13	1	32.454515	-5.806811	0.738	11.0966632	-5.012526328
QSO3	2.08E+13	2	32.017403	-5.687933	2.418	-7.252513793	0.001746613
QSO4	2.10E+13	2	32.477434	-5.605045	2.455	12.06066011	3.494535354
